 20161205_Sample_11A.mzXML,94326
 20161205_Sample_11.mzXML,94172
 20161205_Sample_12A.mzXML,97212
 20161205_Sample_12.mzXML,97734
 20161205_Sample_16A.mzXML,97251
 20161205_Sample_16.mzXML,98031
 20161205_Sample_19A.mzXML,96676
 20161205_Sample_19.mzXML,96696
 20161205_Sample_1A.mzXML,88832
 20161205_sample_1.mzXML,89352
 20161205_Sample_20A.mzXML,95228
 20161205_Sample_20.mzXML,96024
 20161205_Sample_24A.mzXML,98362
 20161205_Sample_24.mzXML,97662
 20161205_Sample_27A.mzXML,96837
 20161205_Sample_27.mzXML,97234
 20161205_Sample_28A.mzXML,97504
 20161205_Sample_28.mzXML,96538
 20161205_Sample_32A.mzXML,96330
 20161205_Sample_32.mzXML,96374
 20161205_Sample_35A.mzXML,84905
 20161205_Sample_35.mzXML,86040
 20161205_Sample_36A.mzXML,95308
 20161205_Sample_36.mzXML,96434
 20161205_Sample_3A.mzXML,90755
 20161205_Sample_3.mzXML,90652
 20161205_Sample_40A.mzXML,92582
 20161205_Sample_40.mzXML,91598
 20161205_Sample_43A.mzXML,88214
 20161205_Sample_43.mzXML,89306
 20161205_Sample_44A.mzXML,93883
 20161205_Sample_44.mzXML,93502
 20161205_Sample_48A.mzXML,100181
 20161205_Sample_48.mzXML,97644
 20161205_Sample_4A.mzXML,94919
 20161205_Sample_4.mzXML,93878
 20161205_Sample_51A.mzXML,92551
 20161205_Sample_51.mzXML,91634
 20161205_Sample_52A.mzXML,96309
 20161205_Sample_52.mzXML,95741
 20161205_Sample_56A.mzXML,99158
 20161205_Sample_56.mzXML,98238
 20161205_Sample_8A.mzXML,95365
 20161205_Sample_8.mzXML,95433
