Cluster,Silo,ID,D3,D5,D7,D9,D11,D13
4,3,CHOYP_PHUM_PHUM289860.1.1.m.44779,187.8745,198.82895,214.75525,206.31775,199.0615,270.1265
31,3,CHOYP_PRP6.2.2.m.34365,126.77505,137.33525,143.5327,0.1,0.1,0.1
2,3,CHOYP_PSA.1.1.m.27259,59.7481,65.411,67.42915,65.0744,70.19065,68.08925
1,3,CHOYP_QCR2.1.1.m.35613,152.2317,122.26445,113.81925,127.8155,96.8592,124.92895
2,3,CHOYP_RBBP4.1.1.m.62913,53.9678,68.74675,66.2882,48.71055,66.7187,61.144
3,3,CHOYP_RL10A.1.2.m.7633,108.2056,61.8349,36.3662,65.2041,27.9131,115.24625
2,3,CHOYP_RL18A.6.8.m.61646,46.4227,80.54005,32.1935,42.006,78.7526,28.50455
3,3,CHOYP_RL40.1.7.m.3623,54.8355,60.98365,57.99055,94.9503,58.8634,63.61495
1,3,CHOYP_RL9.5.6.m.63453,106.2045,135.5611,169.799,115.81615,110.71455,96.3974
32,3,CHOYP_RLA1.5.12.m.15482,0.1,204.6253,112.90785,123.0219,0.1,0.1
3,3,CHOYP_RS3A.4.15.m.15367,137.98365,88.8072,97.0305,87.3261,172.1084,25.15805
3,3,CHOYP_RS4.3.11.m.15465,31.0485,34.3459,71.0229,46.8738,94.25635,55.53835
1,3,CHOYP_SAHHA.1.1.m.62610,96.84395,133.78185,126.9601,127.7947,154.2407,124.35695
2,3,CHOYP_SELD.1.2.m.8600,63.1034,56.6995,72.36845,67.4032,61.70595,75.1894
2,3,CHOYP_SMP_006860.2.1.4.m.8660,48.51105,48.9129,58.2988,58.72535,84.1545,71.316
2,3,CHOYP_SMP_045300.1.1.m.927,76.2445,62.3339,80.55255,61.1801,70.0425,45.95815
3,3,CHOYP_SMP_051990.7.7.m.57569,96.37085,97.2248,107.2355,116.16995,100.52705,112.3636
2,3,CHOYP_SMP_194720.1.1.m.53496,52.56535,57.49555,59.32765,61.2116,68.5741,78.74505
2,3,CHOYP_SPTCA.1.2.m.1905,26.1025,64.45,68.44545,64.5489,74.06255,0.1
7,3,CHOYP_TAGL3.1.1.m.31031,284.47355,273.5725,236.9143,269.42295,339.82105,264.21265
34,3,CHOYP_TBA.1.6.m.12217,544.12625,198.43425,143.3838,112.79015,16.7105,280.26985
31,3,CHOYP_TBA1A.2.4.m.19573,108.6418,115.5204,0.1,0.1,0.1,0.1
33,3,CHOYP_TBA2.1.1.m.955,257.928,219.92985,199.71705,228.9927,191.1755,77.0967
36,3,CHOYP_TBB4B.1.7.m.12262,333.21015,548.0101,588.66265,448.0418,315.0938,435.76855
19,3,CHOYP_TBB4B.7.7.m.63980,428.7215,242.1056,247.93235,220.68445,384.00315,308.5597
3,3,CHOYP_TCPH.1.1.m.7312,75.6942,64.7387,72.11635,86.52065,73.91715,65.20785
2,3,CHOYP_TEMPT.1.3.m.4934,15.5828,27.41575,53.398,20.99135,74.89815,80.50545
3,3,CHOYP_TPM.17.19.m.63919,0.1,87.95335,86.9468,77.24905,81.6865,74.9678
3,3,CHOYP_TPM.18.19.m.66023,91.4025,5.8748,6.20985,0.1,0.1,70.76315
32,3,CHOYP_TPM.7.19.m.15554,2.2794,105.24525,110.6422,111.4712,71.48195,0.1
37,3,CHOYP_TRIADDRAFT_57086.1.1.m.25271,358.1622,350.48735,254.32635,353.78955,218.18475,321.19135
2,3,CHOYP_TRIADDRAFT_63666.3.3.m.57696,75.5578,45.2253,65.02415,55.51485,42.76625,65.08375
3,3,CHOYP_VATA.1.1.m.44460,63.4817,69.88065,68.9255,74.7932,66.25095,81.70735
8,3,CHOYP_VOLCADRAFT_93060.2.2.m.26741,508.734,251.0703,211.39365,230.9109,251.0353,185.57225
2,3,CHOYP_YAHB.1.1.m.25422,65.41405,48.64585,29.31065,47.6959,54.5615,56.9378
1,9,CHOYP_14332.1.2.m.5643,132.3968,149.3615,136.29685,154.2391,58.72215,175.0944
3,9,CHOYP_14332.2.2.m.61737,107.2649,62.66285,61.34945,51.14335,205.9016,34.8846
3,9,CHOYP_2AAA.1.1.m.13306,71.56105,68.2876,72.6359,74.9676,75.74755,72.25215
3,9,CHOYP_AAEL_AAEL007173.1.1.m.41471,0.1,94.7948,0.1,66.4379,31.12235,90.30225
55,9,CHOYP_ABCF2.1.2.m.28362,394.90065,427.17515,461.9663,335.74685,268.42145,467.2112
48,9,CHOYP_ACT.23.27.m.58454,0.1,102.60505,250.12515,115.95735,261.9099,0.1
2,9,CHOYP_ACT.5.27.m.15585,0.1,0.1,0.1,0.1,0.1,0.1
2,9,CHOYP_ACT.6.27.m.15622,0.1,0.1,0.1,0.1,0.1,0.1
5,9,CHOYP_ACT3.3.3.m.66907,251.1409,238.72395,210.52075,334.80975,214.8842,327.81
2,9,CHOYP_ACT3A.1.1.m.25943,55.58325,60.00605,56.81375,82.4713,38.57225,54.38425
1,9,CHOYP_ACTN.1.2.m.15252,121.74945,123.12665,126.41795,134.0607,151.52065,148.8785
3,9,CHOYP_ARPC2.1.1.m.50573,56.50075,57.29055,48.44345,62.4157,86.06725,76.1281
4,9,CHOYP_ATPB.1.1.m.21960,249.794,209.6934,177.6311,237.76145,185.21515,206.7159
13,9,CHOYP_BRAFLDRAFT_114866.4.5.m.35627,370.8376,436.9669,332.88915,300.30495,281.96875,292.66465
3,9,CHOYP_BRAFLDRAFT_115113.1.2.m.31023,59.10165,63.78415,70.4859,69.61755,68.2277,61.90165
3,9,CHOYP_BRAFLDRAFT_125327.1.1.m.29699,57.9644,66.00055,66.5474,71.41525,74.4235,78.9378
3,9,CHOYP_BRAFLDRAFT_125880.1.3.m.7081,125.69385,118.524,115.93735,109.5748,101.06035,71.45685
42,9,CHOYP_BRAFLDRAFT_127065.6.7.m.30727,503.55835,129.41815,60.6951,37.78655,49.17855,28.594
3,9,CHOYP_BRAFLDRAFT_204736.2.2.m.63327,61.87515,69.0164,80.5989,59.25495,50.2844,74.93805
3,9,CHOYP_BRAFLDRAFT_208436.4.32.m.22689,133.4708,0.1,0.1,53.8612,64.92035,50.3747
3,9,CHOYP_BRAFLDRAFT_266781.1.2.m.24880,66.42525,76.43185,62.55825,72.36805,66.23415,57.7344
3,9,CHOYP_BRAFLDRAFT_74063.1.5.m.2740,37.9038,49.68305,62.8534,78.8028,87.45325,64.58225
3,9,CHOYP_BRAFLDRAFT_99083.1.1.m.11705,60.03645,77.1551,68.8399,67.22245,82.5447,74.59605
2,9,CHOYP_CALM.22.50.m.31010,0.1,48.46785,40.55295,46.87475,68.92165,14.9456
7,9,CHOYP_CDPK5.1.1.m.6214,259.21375,240.36805,191.3649,342.59325,351.29995,298.463
3,9,CHOYP_contig_004993.m.5721,12.15125,44.14705,91.7976,58.9486,57.05615,79.31845
3,9,CHOYP_contig_023710.m.26965,80.76995,85.25255,100.83135,83.9459,37.50545,39.66025
61,9,CHOYP_contig_041958.m.48141,173.0308,330.16185,417.46555,296.95655,287.7274,418.39595
1,9,CHOYP_contig_043813.m.50619,137.8146,139.5744,114.51895,130.15375,131.01755,131.0494
1,9,CHOYP_COX5B.3.3.m.38557,121.7949,137.33665,199.14415,135.40065,64.3383,127.771
3,9,CHOYP_CPIPJ_CPIJ012408.1.1.m.10724,112.75155,93.268,134.4372,152.25075,69.22905,84.83615
2,9,CHOYP_CUL3B.1.1.m.61644,26.65045,25.60555,61.96275,0.1,51.9362,0.1
1,9,CHOYP_DHX8.2.3.m.55114,126.4022,159.50245,116.0349,117.6517,125.79375,121.19725
3,9,CHOYP_DLAT.1.1.m.64812,66.42315,71.7773,72.64385,65.59115,69.47585,54.3194
3,9,CHOYP_DLDH.1.1.m.31018,61.8885,95.5552,63.05105,78.32315,64.6879,64.0576
31,9,CHOYP_DSIM_GD24875.1.1.m.66201,122.6062,92.9867,27.6018,10.3443,10.8075,6.6216
44,9,CHOYP_EF1A.2.4.m.50858,739.42795,731.18665,710.73345,784.8577,746.1566,708.48805
4,9,CHOYP_EF2.4.5.m.30186,193.91385,229.15495,188.7871,222.3128,215.0276,183.2886
5,9,CHOYP_EIF5A.1.3.m.22684,311.9791,287.03825,194.38305,305.7476,245.66555,292.33845
4,9,CHOYP_ENO.1.2.m.7681,148.02745,182.30925,208.96075,184.8943,208.1377,194.5305
2,9,CHOYP_ERF3A.1.1.m.57282,71.96035,77.70605,58.0043,63.22505,61.46905,60.62515
3,9,CHOYP_FABP7.2.2.m.29096,12.0017,34.53235,57.123,70.605,103.99755,74.49135
3,9,CHOYP_FLNA.2.6.m.11845,77.60375,1.6348,93.08815,45.25935,64.52485,93.7741
2,9,CHOYP_FYN.1.1.m.44312,74.6415,64.49085,66.7078,73.72525,89.02415,62.1597
1,9,CHOYP_GRP78.2.5.m.33058,120.9052,133.2981,150.2686,112.385,120.8535,153.6893
2,9,CHOYP_GSTO2.1.1.m.36486,68.93415,56.7422,38.6141,67.4178,79.05825,55.6458
2,9,CHOYP_HN1L.2.2.m.9837,66.31275,48.83395,16.9625,71.4331,59.21635,37.0392
4,9,CHOYP_HSP7D.2.3.m.34782,146.89205,182.0329,199.51815,201.44025,175.804,206.88285
2,9,CHOYP_IDLC.1.1.m.63624,66.98745,72.47815,59.8258,34.76475,48.47095,71.05135
2,9,CHOYP_IF2A.1.1.m.13279,70.4576,55.61665,53.26825,62.48425,68.78015,55.5294
2,9,CHOYP_ISCW_ISCW023973.1.2.m.6506,54.0226,48.8149,55.75725,51.5819,50.55215,37.21395
24,9,CHOYP_KARG.2.11.m.2196,343.2885,372.35145,414.0703,382.3525,437.23165,451.4212
3,9,CHOYP_KCY.1.1.m.29973,87.5807,54.3958,104.3822,94.0673,110.803,80.0898
1,9,CHOYP_LDLR.6.7.m.57984,121.05345,158.9252,144.39065,203.88955,194.41465,118.6063
2,9,CHOYP_LOC100113561.1.1.m.37903,50.38505,79.1717,76.40515,71.46135,34.88475,54
3,9,CHOYP_LOC100119310.1.1.m.22032,54.52605,70.5721,69.3415,79.3424,74.72465,42.5367
2,9,CHOYP_LOC100185549.1.6.m.31232,71.27105,55.8702,50.24485,63.97995,73.78105,63.50385
3,9,CHOYP_LOC100186361.3.3.m.66600,129.64695,133.0672,114.4833,138.0993,121.44005,105.21215
3,9,CHOYP_LOC100211409.1.1.m.4742,25.63555,80.61835,72.1983,87.1277,83.46505,70.49535
2,9,CHOYP_LOC100371236.1.1.m.62865,59.3783,80.4113,63.82995,65.34575,64.36585,57.0243
2,9,CHOYP_LOC100375551.1.2.m.27489,46.97945,44.04325,51.12305,46.675,37.54095,33.96345
2,9,CHOYP_LOC100376457.1.2.m.11537,49.01775,76.6317,67.2751,61.1283,74.42265,55.1688
3,9,CHOYP_LOC100376688.1.8.m.12067,126.5814,127.8405,121.6691,140.04615,132.55155,107.96195
3,9,CHOYP_LOC100377173.1.2.m.37699,86.1549,50.8524,13.8654,14.5213,2.54895,112.04295
1,9,CHOYP_LOC100533521.2.2.m.52097,73.50565,123.6117,141.14,106.093,119.32145,160.31695
3,9,CHOYP_LOC100699093.1.1.m.20134,63.85145,74.97185,64.2688,77.80425,71.5436,65.76365
45,9,CHOYP_LOC100699383.1.1.m.63490,199.6737,246.7877,172.79125,461.85975,425.6754,177.00385
3,9,CHOYP_LOC100710670.1.2.m.7245,64.61495,28.5218,61.08085,41.82335,84.48005,76.4064
3,9,CHOYP_LOC100710670.2.2.m.45011,64.61495,69.92925,61.08085,90.2672,84.48005,76.4064
3,9,CHOYP_LOC100711559.1.1.m.10313,46.23945,65.41655,86.17205,57.0898,53.194,67.9979
3,9,CHOYP_LOC100727208.1.1.m.9366,67.8275,73.20885,68.25225,97.0933,79.9398,51.65405
3,9,CHOYP_LOC100755189.1.1.m.33307,63.5999,49.35265,70.4516,51.9213,68.8351,80.2976
53,9,CHOYP_LOC100890099.1.1.m.11505,0.1,88.20305,219.74785,0.1,416.6036,0.1
5,9,CHOYP_LOC100903522.1.3.m.2296,265.46915,175.40645,232.59085,253.4103,217.14365,281.378
3,9,CHOYP_LOC101040300.1.2.m.6533,54.52605,70.5721,69.3415,79.3424,74.72465,67.7631
46,9,CHOYP_LOC101072646.1.1.m.8800,154.01955,259.43175,277.0791,177.08655,102.90055,128.20075
14,9,CHOYP_LOC101156984.2.2.m.22956,426.9364,464.97635,492.59345,465.04785,499.26,438.7492
3,9,CHOYP_LOC101157371.3.3.m.51109,36.90825,53.7953,88.00605,101.0235,83.4096,72.42165
47,9,CHOYP_LOC101169658.2.3.m.20752,36.4086,142.48055,316.166,380.10125,445.35895,533.59615
48,9,CHOYP_LOC101173335.4.4.m.49816,0.1,82.0958,171.43925,177.58445,214.32635,0.1
30,9,CHOYP_LOC587133.1.1.m.61281,231.0322,384.48075,344.3579,386.66005,395.00455,523.60335
3,9,CHOYP_LOC658201.1.1.m.42880,35.6605,64.096,85.0311,22.2476,36.01495,72.2915
3,9,CHOYP_LOC658895.1.1.m.20262,74.00385,73.73985,74.61835,75.7317,59.2471,71.4322
51,9,CHOYP_LOC752782.1.1.m.53937,568.72235,328.73155,0.1,197.9363,0.1,266.4716
57,9,CHOYP_LOC754102.1.1.m.57578,559.59835,369.94445,268.22635,280.1185,505.8474,332.79735
3,9,CHOYP_LRP5.1.3.m.18025,74.73465,68.59725,77.2316,60.85035,64.07985,89.73365
1,9,CHOYP_MDHC.1.1.m.57053,109.686,110.9824,92.4763,129.7466,144.41825,138.65565
41,9,CHOYP_MLE.1.9.m.15462,292.4514,310.5932,280.68625,396.64855,451.3902,311.47925
4,9,CHOYP_MYS.4.7.m.18188,180.7544,183.19635,175.8307,191.9963,211.79105,211.19245
49,9,CHOYP_MYSP.1.9.m.1097,92.97375,240.02425,46.3273,361.8968,360.46315,554.6728
50,9,CHOYP_MYSP.4.9.m.2302,1147.50595,569.57415,1208.58315,434.48165,556.2715,627.3832
43,9,CHOYP_MYSP.8.9.m.44813,111.63405,241.6663,240.88295,195.80085,176.1415,0.1
4,9,CHOYP_NEMVEDRAFT_V1G120119.1.2.m.6082,156.9361,146.4434,137.77545,171.95635,188.64875,254.53105
3,9,CHOYP_NEMVEDRAFT_V1G164392.1.3.m.46942,48.59515,62.88995,60.76185,68.18125,71.1247,83.21725
2,9,CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,61.0578,54.04965,62.98665,40.4069,57.1693,43.60555
52,9,CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817,380.6822,413.1722,411.75135,552.68855,515.97005,565.067
3,9,CHOYP_NPC2.5.7.m.30911,39.1573,59.0566,60.7125,73.2115,84.63235,69.0604
40,9,CHOYP_NPC2.6.7.m.31030,229.2927,356.49655,315.0711,266.57065,215.0872,262.5272
2,9,CHOYP_PABP4.4.6.m.38167,64.78695,69.1753,57.69475,67.34395,63.0693,54.6321
54,9,CHOYP_PAN2.1.1.m.44691,441.7236,0.1,0.1,296.0909,964.1086,0.1
5,9,CHOYP_PHUM_PHUM289860.1.1.m.44779,218.49215,248.4214,255.32345,236.07705,263.4231,305.94795
2,9,CHOYP_PRP6.2.2.m.34365,103.5642,0.1,58.6853,0.1,0.1,0.1
3,9,CHOYP_PSA.1.1.m.27259,65.51415,73.9508,66.538,69.3468,74.9415,65.43095
3,9,CHOYP_QCR2.1.1.m.35613,130.0278,128.5886,131.409,90.1531,80.319,77.99255
3,9,CHOYP_RBBP4.1.1.m.62913,67.0933,64.3764,58.86465,82.92795,55.0064,60.73925
2,9,CHOYP_RL10A.1.2.m.7633,109.0877,50.25475,34.09725,78.3594,28.1339,50.97635
3,9,CHOYP_RL18A.6.8.m.61646,57.1633,67.58545,55.11965,79.2662,106.0635,53.26215
2,9,CHOYP_RL40.1.7.m.3623,57.8861,49.3937,65.359,60.16,46.3873,59.79385
3,9,CHOYP_RL9.5.6.m.63453,93.0276,91.2254,62.10145,167.6689,115.9448,193.101
56,9,CHOYP_RLA1.5.12.m.15482,0.1,90.3577,255.53235,109.16595,0.1,0.1
43,9,CHOYP_RS3A.4.15.m.15367,162.87345,182.7894,173.63305,88.90715,171.7772,0.1
2,9,CHOYP_RS4.3.11.m.15465,35.4363,73.6299,18.6376,91.43885,83.01205,15.2927
3,9,CHOYP_SAHHA.1.1.m.62610,119.7168,141.5812,128.8839,132.8613,124.55925,106.2546
3,9,CHOYP_SELD.1.2.m.8600,57.60435,73.83815,85.88835,52.39415,50.82335,63.5444
3,9,CHOYP_SMP_006860.2.1.4.m.8660,61.47745,66.39625,69.19015,88.74995,85.20555,73.5905
3,9,CHOYP_SMP_045300.1.1.m.927,70.4429,65.21065,66.0635,78.42785,59.9089,78.9262
