protein_ID,Chi,D_3_adj.ChiSq.pval,D_3_ChiSq.pval,D_3_logFC,D_5_adj.ChiSq.pval,D_5_ChiSq.pval,D_5_logFC,D_7_adj.ChiSq.pval,D_7_ChiSq.pval,D_7_logFC,D_9_adj.ChiSq.pval,D_9_ChiSq.pval,D_9_logFC,D_11_adj.ChiSq.pval,D_11_ChiSq.pval,D_11_logFC,D_13_adj.ChiSq.pval,D_13_ChiSq.pval,D_13_logFC
CHOYP_ACT.5.27.m.15585,PropTest,0.979445546193914,0.49246622763317,0.0511322850154663,0.967036679485888,0.00977840567710385,-0.215138417616673,1.75836482358296e-07,6.6328359999357e-11,-0.584610196639161,0.779297472465954,0.00715311398088956,0.220425832732836,0.998682844793179,0.0466275939694367,0.155939223221216,0.958428402785477,0.203786393291684,0.09502210868866
CHOYP_ACT.6.27.m.15622,PropTest,0.979445546193914,0.530327364727272,0.0581672336143058,0.967036679485888,0.0166544758915594,-0.23866919190187,3.23764564902092e-08,8.14194806744855e-12,-0.742293199156566,0.979180442953242,0.114266520323828,0.149640268699727,0.998682844793179,0.185411110406642,0.122373437027631,0.958428402785477,0.137768639789774,-0.133693010099286
CHOYP_ACT3.1.3.m.23292,PropTest,0.979445546193914,0.883943140979452,-0.0170366182903328,0.967036679485888,0.219610046658675,-0.154237140880786,0.949671592008509,0.0101996664073907,-0.330356676347578,0.979180442953242,0.101279747942633,0.200578930226997,0.998682844793179,0.019718466933476,0.27772632521242,0.0278822177493127,7.36233588250431e-05,0.464864003841803
CHOYP_AGAP_AGAP011617.1.2.m.29071,PropTest,0.00895995962870972,7.0976670012412e-05,0.841964465944312,0.967036679485888,0.180723941792416,0.216662223554658,0.949671592008509,0.218535638728411,0.216134427297615,0.979180442953242,0.44737190585067,-0.128418961674429,0.998682844793179,0.19799713218541,0.230279162809961,0.958428402785477,0.103403920299928,0.318380930952417
CHOYP_AKD1.2.3.m.49697,PropTest,0.00443512704028568,2.89986930837238e-05,-1.46537609272,0.997011995802902,0.993630030348208,0.00347607674022932,0.949671592008509,0.585518178426564,0.226860833890674,0.979180442953242,0.336951172158329,-0.587756559976009,0.998682844793179,0.657373645643105,0.287125023214671,0.958428402785477,0.416205458271523,-0.487269684892938
CHOYP_AKD1.3.3.m.63103,PropTest,0.00735435582087548,5.270945326165e-05,-1.39826189686147,0.9874483023198,0.972388210018958,0.0144263763007695,0.949671592008509,0.673278520299666,0.170277305524307,0.979180442953242,0.208404940136511,-0.715861385723695,0.998682844793179,0.222174368494026,0.734584000185892,0.958428402785477,0.300055769379695,-0.584131224145527
CHOYP_BRAFLDRAFT_100695.1.1.m.47761,PropTest,0.0855117317828399,0.00108596566202274,-1.27273101477761,0.967036679485888,0.798071391460317,0.134720610018482,0.949671592008509,0.499254518389973,-0.325680189138105,0.979180442953242,0.208404940136511,-0.715861385723695,0.998682844793179,0.16459962242609,-1.17230659542263,0.958428402785477,0.192672337444564,1.44561611924853
CHOYP_BRAFLDRAFT_103544.1.1.m.38439,PropTest,0.000626665089178124,2.18881236527488e-06,3.80408458227322,0.967036679485888,0.0631097375073041,0.665235326717261,0.949671592008509,0.747220282126664,-0.0891666595570042,0.979180442953242,0.355581660897272,0.245593570614539,0.998682844793179,0.931274862202935,0.0236136145526302,0.958428402785477,0.585090568230181,0.149761535971056
CHOYP_BRAFLDRAFT_117858.3.3.m.61651,PropTest,0.00782906241905379,5.70961423745907e-05,-1.91427704386513,0.967036679485888,0.753729713529902,-0.227849469366226,0.958550978126798,0.889489025345878,-0.0950672609966885,0.979180442953242,0.563183983805041,-0.535289140081874,0.998682844793179,0.737009362993023,-0.324309688867677,0.978007666549162,0.967186004955257,-0.0398107079217165
CHOYP_BRAFLDRAFT_118602.2.5.m.17419,PropTest,0.979445546193914,0.0437272946509826,0.481308092747539,0.967036679485888,0.761483287094296,-0.0669132511511688,0.949671592008509,0.323926230190859,-0.21082540433337,0.668527940144473,0.00571606939894684,0.620422002140738,0.0374962127064445,1.41441768036381e-05,0.849519767030551,9.45738896213427e-07,7.13495960930537e-10,1.31472205239757
CHOYP_BRAFLDRAFT_123537.2.2.m.50531,PropTest,0.00805727281904459,5.9773556685984e-05,-1.99033128407688,0.967036679485888,0.266336436824199,-0.865279389981518,0.958550978126798,0.889489025345878,-0.0950672609966885,0.979180442953242,0.60459091996875,-0.435753466530959,0.998682844793179,0.656050189457452,0.582580906740842,0.958428402785477,0.417788753390045,0.960189292078284
CHOYP_BRAFLDRAFT_127065.6.7.m.30727,PropTest,0.979445546193914,0.253505161050649,-0.135020638200466,5.22809604016026e-07,6.57374077726677e-11,-1.29351638701522,0.949671592008509,0.00457534617979095,-0.888616383529262,0.797033991259199,0.00759030446916601,-0.982748117053094,0.998682844793179,0.1378032711378,-0.532896310679094,0.743008368189149,0.00887536715427753,-1.09870439697529
CHOYP_BRAFLDRAFT_281651.5.8.m.25278,PropTest,0.0142777688012179,0.000129259317702463,-1.14062747877026,0.600071686387495,0.000980879155417759,-2.32471100861881,0.949671592008509,0.531155711953646,-0.773139166109326,0.979180442953242,0.739530389795412,-0.365364138639561,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.86527297019989,0.223223697912077
CHOYP_BRAFLDRAFT_63459.2.3.m.27933,PropTest,0.000938919233979696,4.01398892937378e-06,-1.55746049171072,0.967036679485888,0.148567984909999,-0.739748507897659,0.949671592008509,0.688168749621873,0.226860833890674,0.979180442953242,0.439987987828732,-0.480841356059497,0.998682844793179,0.108118818992022,-1.32430968886768,0.958428402785477,0.475806224374621,-0.683666897696442
CHOYP_BRAFLDRAFT_80496.6.10.m.29014,PropTest,0.979445546193914,0.871469803788248,0.0491970801097539,0.967036679485888,0.145469707246831,-0.306789100621553,0.00310093494677622,2.33944545211333e-06,-0.914001701949176,0.152989565079701,0.000596338050731891,-0.745506847472219,0.998682844793179,0.154824749245215,-0.417419093259158,0.958428402785477,0.322232243286969,-0.36173880280908
CHOYP_BRAFLDRAFT_86846.1.3.m.13594,PropTest,5.30169894277229e-05,1.26659474302368e-07,-2.35679527956608,0.967036679485888,0.256682129337518,-0.758364186065006,0.949671592008509,0.278048732841557,-0.773139166109326,0.979180442953242,0.422347158729439,-0.419811922661938,0.998682844793179,0.252818836890899,0.775225984683237,0.958428402785477,0.0654235582503213,1.44561611924853
CHOYP_BRAFLDRAFT_91636.1.11.m.28449,PropTest,0.979445546193914,0.48747700477245,-0.322771697277204,0.9874483023198,0.973418168010466,0.0192433925985465,0.949671592008509,0.767214592995871,-0.18817666538817,0.979180442953242,0.94176993677221,0.0496733606392823,0.998682844793179,0.996773505973716,-0.00238159398031446,0.059274789634321,0.000204922571163934,-2.23620792072522
CHOYP_CALM.22.50.m.31010,PropTest,0.979445546193914,0.557398715882671,-0.291839837725313,0.967036679485888,0.418359766376195,0.43428089187739,0.949671592008509,0.248255084597112,0.589430913275382,6.79332771654739e-06,1.7083685946303e-09,-2.23326060263222,0.998682844793179,0.742603728621682,0.158083078212932,0.958428402785477,0.40647736893585,-0.477216020229015
CHOYP_CARNS1.4.6.m.40244,PropTest,0.0206792614708957,0.000202814333550845,-2.82527203780639,0.967036679485888,0.126415839852337,-1.67263431203912,0.949671592008509,0.785153129973198,-0.358101666830482,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_CO6A3.2.5.m.39533,PropTest,0.000312008930065447,1.0200216499059e-06,2.02118270394016,0.987003405484878,0.970745710763576,-0.00966929931669291,0.949671592008509,0.835295712710049,-0.0518551941753893,0.984065020743301,0.979610558182411,0.00527924128082891,0.998682844793179,0.61695282643336,-0.11785881140025,0.978007666549162,0.955789197586561,0.0133006285378459
CHOYP_CO6A3.3.5.m.39796,PropTest,7.42095637985943e-08,8.39791367015402e-11,2.65585465193023,0.967036679485888,0.055760687182092,0.422522921001217,0.949671592008509,0.260502939733467,-0.208640767947886,0.979180442953242,0.349443727836969,0.156588564555794,0.998682844793179,0.00750569992014826,-0.546205399907985,0.958428402785477,0.710312900504048,-0.0697827876727759
CHOYP_COCA1.3.6.m.49360,PropTest,0.016030549621747,0.000151217315359003,-2.09764430821952,0.967036679485888,0.925573142744446,0.134720610018482,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_contig_008261.m.9575,PropTest,0.0121788674059575,0.00010413214932794,-3.34312034266901,0.967036679485888,0.925573142744446,0.134720610018482,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.998682844793179,-0.00238159398031423,0.958428402785477,0.801506570364873,-0.361738802809079
CHOYP_contig_010181.m.11866,PropTest,0.016030549621747,0.000152068090277144,-2.22382141429666,0.967036679485888,0.0798134928913738,-1.86527938998152,0.949671592008509,0.874920628020413,0.226860833890674,0.979180442953242,0.972531914860765,0.0496733606392824,0.998682844793179,0.653385218518997,-0.587344094701471,0.958428402785477,0.86527297019989,0.223223697912077
CHOYP_contig_016017.m.18760,PropTest,0.979445546193914,0.573924464837186,0.156112284026265,0.967036679485888,0.307927114484076,-0.35070621715176,0.949671592008509,0.463083943737191,-0.225651370806832,0.979180442953242,0.0279274529728446,0.690130973952142,0.998682844793179,0.335305789654765,0.338655323854752,0.0771960018524705,0.000310608834311462,1.41962091071558
