protein,PC1loadings
CHOYP_1433G.2.2.m.63450,0.0114821966841714
CHOYP_AADAT.1.1.m.12672,-0.00218946699712927
CHOYP_ALF.3.3.m.66837,-0.00079584900037404
CHOYP_FUT8.1.1.m.9231,-0.000959600178414419
CHOYP_FYN.1.1.m.44312,0.00697612472505004
CHOYP_G6PD.2.2.m.46923,-0.00311609322753153
CHOYP_GABPA.1.1.m.15077,0.00129486945105992
CHOYP_GACZ.1.1.m.42619,-0.000530828573493604
CHOYP_GAK.1.1.m.7017,0.000252007296895698
CHOYP_GALT2.1.1.m.54493,-0.00191359179233178
CHOYP_GAR1.1.2.m.9449,-0.0110304709262389
CHOYP_GBB.2.2.m.35274,-0.00246371949927733
CHOYP_GBLP.6.7.m.57427,0.0120259753700712
CHOYP_AMACR.1.1.m.21950,-0.00408720986843848
CHOYP_GCC2.1.1.m.17251,-9.29666828570595e-05
CHOYP_GCKR.1.1.m.51743,0.000641975827782123
CHOYP_GCN1L.1.1.m.1352,-0.00234255244998845
CHOYP_GCSP.1.1.m.46644,-7.10050567084896e-05
CHOYP_GCST.1.1.m.16047,0.0030298851799813
CHOYP_GD1L1.1.1.m.11963,-0.000619856657687002
CHOYP_GDAP2.1.1.m.57049,0.000334166465019672
CHOYP_GDE.1.1.m.54948,-0.00277768883034974
CHOYP_GELS2.2.2.m.30443,0.0422515062171616
CHOYP_GEMIN5.2.2.m.59078,5.3643713799066e-05
CHOYP_AMDHD2.2.2.m.52160,-0.0011488104582167
CHOYP_GEPH.1.2.m.49093,-0.00342179150141025
CHOYP_GFM2.1.1.m.18396,-0.000595138012473864
CHOYP_GGPPS.1.1.m.12124,0.000711893831259439
CHOYP_GIGA2.1.1.m.44916,0.00287076579396939
CHOYP_GIGA3.1.1.m.42774,0.00260854964933748
CHOYP_GIPC1.1.1.m.60630,0.00189860936301521
CHOYP_GIT1.1.2.m.26059,0.00354521142913474
CHOYP_GLCM.2.3.m.40511,0.00235381684216652
CHOYP_GLIPR1L1.1.1.m.41745,0.0125249170487839
