Day11_23C,Day11_29C,Day13_23C,Day13_29C,Day3_23C,Day3_29C,Day5_23C,Day5_29C,Day7_23C,Day7_29C,Day9_23C,Day9_29C,proteinID
35.9507,32.7835,27.0056,31.14485,31.6494,28.65475,30.45095,37.68305,28.92145,26.54755,41.7135,34.7239,CHOYP_GLRX3.1.1|m.63529
29.0725,42.5924,30.1169,33.238,41.14715,29.86685,38.86065,32.3051,36.7468,30.7785,39.72145,25.39645,CHOYP_GMDS.1.1|m.28602
19.709,15.9901,29.03075,25.4032,24.5877,25.96325,21.12725,48.04995,22.16965,30.9574,29.8434,15.4321,CHOYP_GMFB.2.2|m.54955
17.6655,16.4631,19.8286,21.0924,13.1838,21.53945,21.77615,24.65635,24.1084,21.13355,19.3445,21.05205,CHOYP_GMPAA.1.1|m.1432
25.06175,31.6547,28.6516,37.27885,30.4908,26.3391,29.37705,31.57385,35.23385,34.8959,42.81665,30.4331,CHOYP_GMPR2.1.1|m.63274
6.7494,6.8213,4.10865,9.22545,11.91895,6.2876,0,5.0769,6.3152,1.9356,4.7449,4.9121,CHOYP_GNAI.1.1|m.26096
6.8065,6.87895,2.1194,3.1126,3.0068,1.642,6.05715,1.788,3.1738,1.95155,1.68095,1.69575,CHOYP_GNAO.1.1|m.37355
0,3.44915,10.38995,10.90755,15.0766,7.9642,12.18835,1.7457,11.14615,5.6834,3.32115,0,CHOYP_GNAQ.1.1|m.20698
37.71795,54.5094,55.8224,49.2472,23.82645,28.9283,33.5983,42.13385,41.51395,42.0136,30.59,44.4628,CHOYP_GNBPB3.1.1|m.55379
23.55945,30.45765,31.4186,35.34695,43.699,46.132,45.9638,41.24225,46.30095,35.84655,34.41475,29.2011,CHOYP_GNPI2.1.1|m.55897
0,2.73775,0,0,0,2.5618,0,0,0,0,0,2.6466,CHOYP_AMO.5.5|m.66428
1.13665,1.83435,0,1.0809,1.40825,1.70125,1.01165,0.74845,1.48895,1.0115,2.36,1.5488,CHOYP_GOGB1.1.2|m.26408
2.119,4.2396,7.66375,7.67335,5.62355,11.7405,5.62415,6.3689,3.92505,2.3939,2.0604,2.0887,CHOYP_GOLGA4.1.3|m.4761
27.29255,21.45015,22.1187,23.5547,22.7362,25.43105,20.1918,18.3047,21.16775,20.2194,20.0276,17.6221,CHOYP_GPDA.1.2|m.6967
6.193,4.1959,0,1.96955,0,7.75735,1.8731,2.1702,0,0,2.03965,6.0431,CHOYP_GPM6A.1.1|m.41817
69.69535,92.38125,84.9686,77.0638,76.5483,71.85895,70.5365,77.3949,67.4694,58.8781,67.9054,79.3831,CHOYP_GPMA.1.1|m.35689
0,0,0,0,1.82465,1.86915,1.783,0,0.96955,0,0.97845,0,CHOYP_GPSM2.1.1|m.58301
0,3.9769,9.55125,7.1751,13.86265,7.3187,6.98145,4.0564,7.3404,8.724,3.8097,3.84375,CHOYP_GPX3.1.2|m.24838
0,0,0,0,0.7056,0,0,0,0,0,0,0,CHOYP_GR101.3.3|m.43507
0.8106,1.55245,0,0,0,0,0,1.51215,1.40425,0.88035,0.76925,0.7794,CHOYP_GRAP1.1.1|m.45768
2.5117,3.8197,6.116,3.45855,3.32595,3.51145,4.44115,3.77865,3.5029,5.58625,5.8992,2.43535,CHOYP_GRIA3.1.1|m.44173
0,0,2.09635,1.57195,1.5404,1.6153,2.99485,1.7686,3.1488,1.91195,1.60945,0,CHOYP_AMRP.1.1|m.36070
0,1.11655,0,0,0.9889,0,1.01055,1.1087,1.0279,0,2.02475,2.06595,CHOYP_GRK5.1.1|m.6617
12.37415,11.23655,10.52045,10.14555,7.0857,12.08995,14.30545,11.78645,14.46625,10.96495,13.9983,13.76435,CHOYP_GRM1.2.2|m.65835
107.4812,84.33295,95.34375,85.7758,82.1133,110.7912,96.4673,120.50075,99.77645,100.47005,120.49125,98.4496,CHOYP_GRP75.1.1|m.11678
0,0.96075,0,0,0.8558,2.54855,0.849,0,0,0,0,0.92985,CHOYP_GSH1.1.1|m.8927
7.3968,7.5226,13.50985,7.88015,9.8056,9.2007,9.8594,8.7118,10.3595,8.22545,8.15405,10.75465,CHOYP_GSHB.1.1|m.27512
18.90905,13.2858,23.0839,24.02105,24.4973,25.8592,25.93565,27.9929,27.30485,16.20975,30.25895,18.3878,CHOYP_GSK3B.1.1|m.62139
58.64795,53.4011,60.6882,53.63915,191.6692,101.21115,151.0817,106.5251,85.10795,78.26165,85.4568,62.53545,CHOYP_GST7.1.1|m.59335
2.5593,0,6.02825,0,0,0,0,0,2.41045,0,2.4229,0,CHOYP_GSTO1.1.2|m.14745
57.85225,47.62835,83.13035,62.2955,51.03895,53.9181,70.05685,69.16505,58.79175,40.8601,64.4523,61.0903,CHOYP_GSTO1.2.2|m.26202
82.63025,79.05825,79.37055,55.6458,65.2838,68.93415,61.8788,56.7422,61.07105,38.6141,53.32385,67.4178,CHOYP_GSTO2.1.1|m.36486
0,0,2.68895,2.0521,0,0,2.00205,6.5145,2.1143,2.46955,2.0566,0,CHOYP_AMY.2.3|m.15473
2.70055,0,0,7.1487,4.6209,2.49655,2.34665,0,0,0,2.55645,2.57915,CHOYP_GSTP1.1.2|m.29677
43.99665,55.4072,113.1456,103.3853,71.85875,78.5477,74.9839,82.1722,84.2896,90.4273,63.10265,42.1464,CHOYP_GSTP1.2.2|m.30099
23.80175,41.02815,37.19005,49.73,35.95025,31.6597,36.24085,57.89325,25.40265,52.8339,47.8233,29.5891,CHOYP_GSTZ1.1.1|m.56540
2.96715,3.02185,3.63015,1.81735,5.2669,3.74695,4.40925,4.00415,6.56035,4.43025,5.65075,2.88755,CHOYP_GTPB1.1.1|m.66453
0,0,2.76485,2.14995,0,0,0,0,0,0,0,0,CHOYP_GTR1.1.1|m.25509
8.80575,8.03475,9.6499,7.27505,10.1121,12.3247,7.79525,10.6466,6.5288,4.9009,9.93275,10.24535,CHOYP_GUAA.1.1|m.18809
12.2779,16.0961,13.45495,10.0692,16.27445,9.1633,7.69135,4.9143,12.7023,14.99855,7.02195,10.72275,CHOYP_GUAD.1.1|m.33511
33.9499,28.58215,48.1133,41.36415,4.98795,15.78525,12.59305,17.06445,23.72035,28.2664,21.2867,30.09885,CHOYP_GUN.2.2|m.46462
14.9154,16.0507,18.7638,13.61145,10.97615,12.5192,11.95185,11.51455,15.86955,12.71345,14.0755,10.12665,CHOYP_GZF1.1.2|m.7747
56.32,23.79705,34.19415,47.15825,74.42955,82.99005,25.00335,28.5675,56.70945,52.0221,57.30905,63.56345,CHOYP_H2AV.1.7|m.12182
1.0637,0,1.2663,0,0.9314,0,3.56005,2.01535,0.968,0,2.8124,1.9394,CHOYP_AN13B.1.1|m.15287
37.1642,37.6388,19.3467,97.248,93.5389,118.6971,103.24755,47.83015,64.17125,29.43355,103.4651,35.97625,CHOYP_H3.1.2|m.3829
2.16495,2.1088,3.8564,7.6547,1.84355,1.94665,2.79755,2.1812,6.8889,5.79525,4.9007,3.0372,CHOYP_HACL1.1.1|m.6578
0,0,1.05445,0.7954,1.50255,1.5376,0.793,2.5024,2.4072,0.96195,1.55365,0.84705,CHOYP_HBS1L.1.2|m.14311
0.7395,0,0.46455,0.3645,0,0.68645,0.3487,0,0.3622,0.80275,0.64125,0.3806,CHOYP_HEAT1.1.1|m.11228
1.7233,1.4957,0.9006,1.35855,1.52495,1.8435,1.53365,1.49115,0.4616,0.82155,2.3173,1.19755,CHOYP_HECD1.1.1|m.27759
0.40955,0,1.2951,0.97685,0.6784,0.6618,0.6313,0.4025,0.3756,0.8428,0.39,0.39305,CHOYP_HELZ.2.2|m.43303
7.3221,5.65245,0,1.7057,4.856,1.75285,3.3507,3.6887,3.42555,2.0756,10.4111,8.8697,CHOYP_HEM2.1.1|m.6789
23.03515,16.6946,2.0627,10.54545,19.00525,10.8033,17.67365,11.6495,15.544,11.0243,31.14855,22.4569,CHOYP_HEM3.1.1|m.28414
0.4666,0.47225,0.5709,0.42715,0.4138,0.5839,0.69345,0.785,0.33685,0.87135,0.1948,0.6067,CHOYP_HERC2.1.1|m.65153
0,0,0,0,0,0,0,0,0,0,1.7212,0,CHOYP_HGFAC.1.1|m.5902
5.2024,7.35105,2.5404,4.8026,0,1.02055,0.9906,2.10235,4.93655,1.2159,1.05,5.06535,CHOYP_ANKK1.1.1|m.56194
5.37,7.1696,6.50595,11.4262,1.62835,4.98235,3.2631,3.5915,0,0,1.75795,12.08965,CHOYP_HIF1N.1.1|m.53726
28.62645,28.9142,34.7901,33.5557,46.871,26.66495,25.56855,36.955,30.40685,45.3882,23.08455,43.541,CHOYP_HINT1.1.1|m.53526
1.67475,2.2466,0.72585,3.0496,0.982,2.59365,0.9891,2.23965,1.5698,0,0,2.6954,CHOYP_HIP1.1.1|m.31791
0,0.6315,0,0,1.0264,0,0,0,0,0,0,0.61455,CHOYP_HIRA.1.1|m.19212
57.39595,45.36965,36.8288,47.71015,62.69515,49.65245,56.67195,37.87125,52.6397,38.2689,51.17255,63.7105,CHOYP_HMBS.1.1|m.31422
2.8386,6.0352,3.44835,8.72325,0,0.18945,0,0.749,1.81075,1.99105,2.24375,5.49265,CHOYP_HMCN1.28.44|m.47379
0,0,0,0,1.80615,0,0,0,0,0,0,0,CHOYP_HMCN2.10.12|m.49343
