proteinID,ClusterID,ClusterColor,19_16,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_BRAFLDRAFT_208293.15.20.m.61604,1,darkslategray1,2.7859,1.8455,0.1,1.9827,0.98935,1.0773,1.28535,0.1,0.1,0.1,0.1,0.1,2.7912
CHOYP_BRAFLDRAFT_208436.28.32.m.61328,2,black,2.8094,1.80305,3.65605,0.1,0.1,0.1,1.29095,4.7515,1.0922,1.17915,4.94425,6.18755,6.4812
CHOYP_BRAFLDRAFT_212086.4.11.m.42448,1,darkslategray1,6.94425,3.4011,2.324,1.2524,1.25875,1.294,4.60445,0.1,0.1,0.1,3.67125,0.1,1.19065
CHOYP_BRAFLDRAFT_220356.5.6.m.38505,2,black,0.1,0.1,0.7647,0.1,0.1,0.832,0.1,0.79165,0.83775,0.9272,1.59105,4.792,0.78305
CHOYP_BRAFLDRAFT_246447.1.1.m.30255,1,darkslategray1,8.03735,5.81665,1.95125,1.0563,1.06605,1.1612,0.1,2.04555,0.1,0.1,0.1,1.16845,0.1
CHOYP_BRAFLDRAFT_249506.2.2.m.60314,1,darkslategray1,1.99955,0.77185,0.4336,0.81735,0.1,0.87355,2.1271,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_277091.1.3.m.1103,1,darkslategray1,4.17335,4.02285,12.0878,0.1,16.85465,4.4968,0.1,0.1,0.1,0.1,8.8134,0.1,0.1
CHOYP_BRAFLDRAFT_277797.1.1.m.26394,1,darkslategray1,9.25885,5.96515,3.07565,3.2497,15.764,6.6708,8.21255,0.1,3.3849,3.76355,3.29575,6.76935,0.1
CHOYP_BRAFLDRAFT_277920.1.1.m.28845,1,darkslategray1,0.1,1.23905,2.3892,2.51205,5.0615,2.68475,0.1,1.29875,0.1,0.1,0.1,1.39385,1.2913
CHOYP_BRAFLDRAFT_278918.4.5.m.39356,1,darkslategray1,0.1,0.1,0.1,8.7137,22.1681,18.8773,5.7893,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_284774.2.3.m.15260,2,black,7.29315,2.37635,0.1,0.1,0.1,0.1,0.1,2.4932,7.975,5.92,12.73875,16.02645,11.984
CHOYP_BRAFLDRAFT_59154.3.3.m.53255,1,darkslategray1,0.1,5.02535,10.0481,0.1,5.2822,5.6189,0.1,0.1,5.6601,0.1,5.53735,0.1,0.1
CHOYP_BRAFLDRAFT_80064.1.1.m.40175,1,darkslategray1,6.0209,5.8012,5.8432,0.1,6.18935,6.5269,4.0514,6.1255,3.3124,0.1,3.241,0.1,0.1
CHOYP_BRAFLDRAFT_84054.1.2.m.8523,1,darkslategray1,0.1,1.68895,1.7012,0.9613,0.1,0.1,1.2124,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_BRAFLDRAFT_85896.1.1.m.38692,1,darkslategray1,2.3927,4.6109,3.468,2.4415,2.55105,1.3724,1.6367,3.65495,0.1,0.1,2.53,0.1,1.25645
CHOYP_BRAFLDRAFT_88543.1.2.m.54473,1,darkslategray1,5.1646,2.98465,1.0661,1.08445,2.2104,1.1923,2.7442,1.0984,1.2011,0.1,0.1,0.1,2.08875
CHOYP_C10.1.2.m.23678,1,darkslategray1,13.28295,8.5394,12.9581,13.47915,9.1107,4.817,0.1,9.01665,0.1,0.1,0.1,9.7681,0.1
CHOYP_CADM4.1.1.m.60661,1,darkslategray1,0.1,0.1,1.0699,1.12855,2.1468,1.16585,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_CALM.37.50.m.52385,1,darkslategray1,0.1,0.1,3.49495,0.1,11.3291,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_CASP7.5.23.m.12847,1,darkslategray1,1.6562,0.1,1.6332,1.66185,0.1,1.82985,2.18555,0.1,0.1,0.1,0.1,0.1,1.6738
CHOYP_CBR.LIN.24.1.1.m.5076,1,darkslategray1,29.54235,23.132,17.9191,5.80945,1.98,12.0815,26.9691,20.6686,4.05755,2.27815,0.1,2.10425,3.6832
CHOYP_CCBL1.1.1.m.30637,1,darkslategray1,8.68445,15.54755,2.42905,2.53645,2.55345,2.7956,0.1,1.30995,0.1,0.1,2.68295,0.1,0.1
CHOYP_CCD43.1.1.m.63636,1,darkslategray1,2.5277,2.43725,4.8213,5.06915,5.1069,5.4177,3.3516,2.5699,5.4586,0.1,2.6699,0.1,0.1
CHOYP_CELE_F01D5.5.1.1.m.4265,2,black,0.1,0.1,0.1,0.1,0.1,9.2225,16.91095,0.1,0.1,5.20305,8.94185,42.16305,33.73945
CHOYP_CELF4.1.1.m.22429,1,darkslategray1,1.5393,1.48495,1.518,1.54455,0.1,0.1,2.03015,0.1,0.1,0.1,1.62475,0.1,0.1
CHOYP_CI064.1.1.m.9517,1,darkslategray1,0.1,1.59195,3.0984,3.2577,1.6634,0.1,0.1,3.2481,0.1,0.1,0.1,0.1,0.1
CHOYP_CLK2.1.1.m.3081,2,black,0.1,0.1,0.48535,0.5104,0.5128,0.1,0.1,1.3527,1.9461,2.1426,0.517,1.0168,1.75675
CHOYP_CNOT1.1.1.m.12106,2,black,42.2851,56.51065,0.1,0.1,0.1,46.04915,38.9402,59.63145,17.7053,23.87525,44.7111,61.1522,0.1
CHOYP_contig_000189.m.198,2,black,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.9188,3.0971,3.47665,0.1,0.1,0.1
CHOYP_contig_001317.m.1351,1,darkslategray1,4.5283,4.365,13.0626,18.23255,4.7193,0.1,5.97445,13.62115,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_002417.m.2661,2,black,0.1,0.1,0.1,0.1,2.4841,0.1,0.1,0.1,0.1,5.84125,2.6028,2.72945,2.4256
CHOYP_contig_004869.m.5573,1,darkslategray1,11.11925,12.4933,30.3378,18.56375,17.24845,12.2548,19.6184,33.72165,12.3487,0.1,27.2608,0.1,27.55265
CHOYP_contig_005029.m.5761,1,darkslategray1,7.3367,10.6125,14.24035,33.47475,15.21075,4.1048,9.8018,3.79275,0.1,0.1,7.7575,0.1,14.71615
CHOYP_contig_005396.m.6126,2,black,0.1,0.1,0.1,3.47825,0.1,0.1,0.1,0.1,0.1,4.06815,6.97255,3.71825,3.3023
CHOYP_contig_006214.m.7057,1,darkslategray1,0.1,4.93405,5.0465,0.1,5.1862,5.6672,6.8047,0.1,0.1,0.1,0.1,5.5981,0.1
CHOYP_contig_007858.m.9121,1,darkslategray1,4.8549,1.6145,0.1,1.67125,0.1,0.1,2.19805,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_008452.m.9831,1,darkslategray1,6.2134,13.9672,3.03325,3.16505,3.18105,4.51345,2.75445,2.11065,3.40365,1.30175,0.1,1.1825,0.1
CHOYP_contig_009176.m.10652,2,black,35.2876,3.0464,11.0547,0.1,0.1,49.898,0.1,0.1,6.9954,7.5747,36.3197,60.63125,33.37575
CHOYP_contig_010154.m.11827,2,black,0.1,0.1,10.75145,11.3042,0.1,0.1,0.1,11.27085,12.17265,13.4349,11.71385,12.21015,11.04965
CHOYP_contig_013837.m.15768,1,darkslategray1,0.1,0.1,0.1,4.9726,0.1,20.42175,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_014205.m.16198,1,darkslategray1,0.1,1.2252,2.3734,2.4954,1.28585,0.1,0.1,0.1,0.1,1.54015,0.1,0.1,0.1
CHOYP_contig_016120.m.18916,2,black,1.9685,3.70635,0.1,0.1,0.1,0.1,0.1,2.01235,2.1923,0.1,4.0673,0.1,5.7415
CHOYP_contig_016292.m.19158,2,black,1.19735,0.1,0.1,0.1,1.2067,0.1,3.03905,1.211,2.515,1.4311,1.2631,1.3233,2.283
CHOYP_contig_016375.m.19279,1,darkslategray1,0.1,0.1,0.1,7.74635,7.6518,2.7042,3.27595,0.1,0.1,0.1,0.1,0.1,0.1
CHOYP_contig_016559.m.19503,1,darkslategray1,0.1,3.3566,13.35585,17.6198,24.8168,0.1,0.1,7.0005,3.77845,0.1,0.1,0.1,0.1
CHOYP_contig_016854.m.19834,2,black,4.5464,0.1,0.1,0.1,0.1,0.1,5.955,2.33805,0.1,2.75625,0.1,4.94335,8.8983
CHOYP_contig_023897.m.27203,1,darkslategray1,56.60495,38.97675,4.0253,4.25395,4.2762,4.51915,0.1,16.4538,0.1,0.1,0.1,0.1,8.06545
CHOYP_contig_025759.m.29400,1,darkslategray1,20.7902,7.01185,5.00325,6.3223,5.3596,3.38465,0.1,7.40415,2.30245,0.1,3.29385,0.1,0.1
