protein,PC1loadings,PC2loadings
CHOYP_1433G.2.2.m.63450,0.00203581606079291,-0.000351223840862956
CHOYP_AADAT.1.1.m.12672,0.00299522944798257,-0.00114320358387101
CHOYP_ALF.3.3.m.66837,0.040551175525444,-0.0090713549137205
CHOYP_FUT8.1.1.m.9231,-0.00561853850642074,0.0156451553932422
CHOYP_FYN.1.1.m.44312,0.00190229633223527,-0.00109206751724377
CHOYP_G6PD.2.2.m.46923,-0.000557192946630618,-0.00190997479673351
CHOYP_GABPA.1.1.m.15077,-0.00449696389584488,-0.0129494566118762
CHOYP_GACZ.1.1.m.42619,-0.0137469576057344,0.0183253298497135
CHOYP_GAK.1.1.m.7017,-0.00483692071075153,-0.00715139222058484
CHOYP_GALT2.1.1.m.54493,0.0107572222778781,-0.0157769224422949
CHOYP_GAR1.1.2.m.9449,-0.00147261239005414,-0.00298126065063199
CHOYP_GBB.2.2.m.35274,0.00160963452477082,-0.00300115206348097
CHOYP_GBLP.6.7.m.57427,0.00187556047493042,-0.000307038073601512
CHOYP_AMACR.1.1.m.21950,-0.00625788732856521,0.0101345726810358
CHOYP_GCC2.1.1.m.17251,-0.000379265215301213,0.0032316832845118
CHOYP_GCKR.1.1.m.51743,-0.013078160202603,0.0228390653894765
CHOYP_GCN1L.1.1.m.1352,0.000546833748053573,0.000705866363644691
CHOYP_GCSP.1.1.m.46644,-0.00283523796550075,-0.0013881599228281
CHOYP_GCST.1.1.m.16047,0.000310508920045263,-0.00538162916521626
CHOYP_GD1L1.1.1.m.11963,0.00412952962442948,-0.00081263926431535
CHOYP_GDAP2.1.1.m.57049,-0.00944730605577707,-0.00601224225336093
CHOYP_GDE.1.1.m.54948,0.00120536475886203,-0.00312580671295911
CHOYP_GELS2.2.2.m.30443,0.00294485357883139,-0.00230856985687071
CHOYP_GEMIN5.2.2.m.59078,0.0105411675904807,0.0126299302659711
CHOYP_AMDHD2.2.2.m.52160,-0.0118506557349905,0.0240544720775263
CHOYP_GEPH.1.2.m.49093,-0.00325919352715096,-0.000625544201058962
CHOYP_GFM2.1.1.m.18396,-0.0204304323645134,0.00177803033952368
CHOYP_GGPPS.1.1.m.12124,0.00239206467779475,-0.00572699250429973
CHOYP_GIGA2.1.1.m.44916,0.0196982051083578,0.0124128699836998
CHOYP_GIGA3.1.1.m.42774,0.0277227870030685,0.0122924343805038
CHOYP_GIPC1.1.1.m.60630,-0.000394753426574775,0.00145013942150212
CHOYP_GIT1.1.2.m.26059,0.00216779869746392,-0.0010137392568868
CHOYP_GLCM.2.3.m.40511,-0.00392121380197801,-0.0276494915650576
CHOYP_GLIPR1L1.1.1.m.41745,0.0502932477612842,0.0239477033720557
CHOYP_GLO1.1.1.m.32382,-0.00621698320834573,0.0126067907106321
CHOYP_AMO.1.5.m.28337,-0.00318787833001377,0.00432778952915239
CHOYP_GLRX3.1.1.m.63529,0.000783472615635886,-0.00162351904140144
CHOYP_GMDS.1.1.m.28602,-0.000553908682796179,-0.000604577958248356
CHOYP_GMFB.2.2.m.54955,-0.0023594692583955,0.00435142483075442
CHOYP_GMPAA.1.1.m.1432,0.000315636230959427,0.00360569460407621
CHOYP_GMPR2.1.1.m.63274,0.000804269838501242,0.00217809071486971
CHOYP_GNAI.1.1.m.26096,0.00232555250181814,-0.0132810092974063
CHOYP_GNAO.1.1.m.37355,0.00410484769792753,-0.00675157604892553
CHOYP_GNAQ.1.1.m.20698,-0.018715175500343,0.0215001109763121
CHOYP_GNBPB3.1.1.m.55379,0.00460375363938507,0.00215019257740962
CHOYP_GNPI2.1.1.m.55897,-0.00407173980669858,0.00271976068492593
CHOYP_AMO.5.5.m.66428,-0.000875457270126725,-0.0230158868533187
CHOYP_GOGB1.1.2.m.26408,-0.00319161956057283,-0.00864557805554549
CHOYP_GOLGA4.1.3.m.4761,-0.00731515211731734,0.00109494531798722
CHOYP_GPDA.1.2.m.6967,-0.000187223078185581,-0.00187939846765829
CHOYP_GPM6A.1.1.m.41817,0.00757043077571631,-0.0313147188870747
CHOYP_GPMA.1.1.m.35689,0.00062676372628497,-0.00153343905569682
CHOYP_GPSM2.1.1.m.58301,-0.0231877034502314,-0.00225167945699594
CHOYP_GPX3.1.2.m.24838,-0.0143195171337431,0.0196760688045264
CHOYP_GR101.3.3.m.43507,-0.00752969352024226,-0.00479187836934483
CHOYP_GRAP1.1.1.m.45768,0.0128436401563076,-5.64640250943315e-05
CHOYP_GRIA3.1.1.m.44173,0.000257662815876194,0.00427787868791482
CHOYP_AMRP.1.1.m.36070,-0.0166053157617868,0.0291278423210184
CHOYP_GRK5.1.1.m.6617,-0.00159127009320271,-0.00185738242458654
CHOYP_GRM1.2.2.m.65835,0.00162255039838695,0.00138807369518769
CHOYP_GRP75.1.1.m.11678,-0.000144151318059876,0.000477951859844734
CHOYP_GSH1.1.1.m.8927,-0.0153215591400905,-0.0201008095484925
