protein,PC1loadings
CHOYP_HS90A.1.3.m.7725,0.00331961304231183
CHOYP_HS90A.3.3.m.28300,0.000733973435839974
CHOYP_HSP21.4.1.1.m.8171,-0.00137638175215386
CHOYP_HSP7D.2.3.m.34785,-0.00595444224629383
CHOYP_HSP7D.3.3.m.41778,0.0054432760683326
CHOYP_HSP7E.1.1.m.13730,-0.00351321001418285
CHOYP_AAEL_AAEL001503.1.1.m.10649,-7.7986599617177e-05
CHOYP_ANKRD5.1.2.m.11711,0.000804198358396117
CHOYP_HTR5B.1.1.m.39330,-0.00744085742196355
CHOYP_HTT.1.1.m.33803,-0.0138428946242082
CHOYP_HUTH.1.1.m.30350,2.06828752775373e-05
CHOYP_HVCN1.1.4.m.8888,-0.00857455653054538
CHOYP_HX1.1.1.m.23716,0.00862799789771607
CHOYP_HYOU1.1.3.m.163,0.00946297625450208
CHOYP_IDHC.1.1.m.7041,0.000828195449819454
CHOYP_IDLC.1.1.m.63624,-0.00321426501733899
CHOYP_IF2A.1.1.m.13279,-0.00142978223360817
CHOYP_IF2H.1.1.m.18253,-0.00105007800081407
CHOYP_ANKY2.2.2.m.44213,0.0197129883421087
CHOYP_IF4A3.1.1.m.30424,-0.0011051487261972
CHOYP_IF4E.1.1.m.56823,-0.00384843500164296
CHOYP_IF4G2.1.1.m.62766,-0.0017487515024265
CHOYP_IF6.1.1.m.22685,0.000871458916733117
CHOYP_IFT140.1.1.m.61053,-0.00341068690274816
CHOYP_IFT57.1.1.m.13249,-0.00530634275456682
CHOYP_IKBZ.1.1.m.23083,0.00157700651110846
CHOYP_IMA2.2.2.m.49279,-0.0102099392451869
CHOYP_IMDH3.1.1.m.51789,-0.00219851415636995
CHOYP_IMG5_109580.1.1.m.27791,-0.0111078522197788
CHOYP_ANLN.1.1.m.6530,0.00715105054840837
CHOYP_IMSP5.1.2.m.5157,-0.0217313143518657
CHOYP_INO1A.1.1.m.91,-0.020101184941158
CHOYP_INT11.1.1.m.29494,-0.00995138738671872
CHOYP_INT6.1.1.m.13005,-0.00882005874161596
CHOYP_INT9.1.1.m.11703,0.00300031499474751
CHOYP_INVS.2.6.m.8331,0
CHOYP_IPO7.1.1.m.16806,0.00215885427819258
CHOYP_IQCA1.1.3.m.4290,-0.0143758446849367
CHOYP_IQGA1.1.1.m.47731,-0.000295105787040492
CHOYP_IRF1.1.3.m.52606,-0.00188608140086644
CHOYP_ANM5.1.1.m.1529,0.000703473973178809
CHOYP_ISCW_ISCW001487.2.2.m.61505,-0.00194389630469706
CHOYP_ISCW_ISCW003928.1.1.m.18079,-0.0180246397177623
CHOYP_ISCW_ISCW004725.1.1.m.9722,0.00227552446147689
CHOYP_ISCW_ISCW005292.1.1.m.11066,0.00187936342299837
CHOYP_ISCW_ISCW005596.1.1.m.60561,-0.00402614343475697
CHOYP_ISCW_ISCW005651.1.1.m.49000,-0.00468284523180207
CHOYP_ISCW_ISCW005791.1.1.m.53514,-0.00129604352223476
CHOYP_ISCW_ISCW006091.2.2.m.61313,-0.000225888117507926
CHOYP_ISCW_ISCW006831.1.1.m.23820,-0.000418095158711309
CHOYP_ISCW_ISCW008219.1.2.m.46822,0.000172693369517486
CHOYP_ANR17.1.2.m.772,-0.0018190056266605
CHOYP_ISCW_ISCW008316.1.3.m.11997,0.0364347445620946
CHOYP_ISCW_ISCW008555.1.1.m.40873,0.000795547923162653
CHOYP_ISCW_ISCW008596.2.2.m.44077,0.00212985491446552
CHOYP_ISCW_ISCW010143.3.3.m.61542,0.0019566690585335
CHOYP_ISCW_ISCW010532.1.4.m.11493,0.00193029318517095
CHOYP_ISCW_ISCW010532.2.4.m.35454,0.0113080746858795
CHOYP_ISCW_ISCW011108.1.1.m.13934,-0.00042317225310912
CHOYP_ISCW_ISCW011341.1.1.m.18728,-0.00509789312028186
CHOYP_ISCW_ISCW012010.1.1.m.27251,0.000616138449553557
CHOYP_ANR40.1.1.m.1429,0.00998493505119696
CHOYP_ISCW_ISCW012036.1.1.m.27987,-0.00370911146416612
CHOYP_ISCW_ISCW012232.1.1.m.38746,-0.0189571800348253
CHOYP_ISCW_ISCW012366.1.1.m.3691,-0.00927521279524232
CHOYP_ISCW_ISCW012623.1.1.m.26452,-0.000544119221835677
CHOYP_ISCW_ISCW013556.1.1.m.26406,-0.00992537875652236
CHOYP_ISCW_ISCW013767.1.1.m.29335,0.000702615496072241
CHOYP_ISCW_ISCW013795.1.1.m.12153,-0.030179840647359
CHOYP_ISCW_ISCW014398.1.3.m.15838,-0.00104629203034223
CHOYP_ISCW_ISCW014398.1.3.m.15839,0.00504442563652676
CHOYP_ISCW_ISCW014726.5.5.m.47210,0.00693998907543543
CHOYP_AOF.1.1.m.7109,-0.0299642021592523
CHOYP_ISCW_ISCW014880.1.1.m.27977,-0.00924705778874112
CHOYP_ISCW_ISCW015295.1.1.m.22192,0.00434339454644115
CHOYP_ISCW_ISCW016254.2.5.m.38599,-0.0190644939602102
CHOYP_ISCW_ISCW017188.1.1.m.23179,-0.00028367177444816
CHOYP_ISCW_ISCW017652.1.1.m.49306,-0.0189296092757358
CHOYP_ISCW_ISCW017707.1.1.m.58329,0.00201821139077666
CHOYP_ISCW_ISCW017709.1.1.m.30040,-0.00501992001015291
CHOYP_ISCW_ISCW017872.2.2.m.60293,0.0136705832914748
CHOYP_ISCW_ISCW018425.1.1.m.35608,0.00537541853176205
CHOYP_ISCW_ISCW018501.2.2.m.61797,-0.00250235816910128
