proteinID,ClusterID,ClusterColor,21_23,23_23,25_23,27_23,29_23,31_23,21_29,23_29,25_29,27_29,29_29,31_29
CHOYP_MSMB.4.5.m.40217,1,darkslategray1,-0.544818701034815,0.216660106493216,2.67590625887678,-0.544818701034815,1.14736543924202,-0.544818701034815,-0.544818701034815,-0.544818701034815,-0.544818701034815,-0.544818701034815,0.318617803666494,-0.544818701034815
CHOYP_NAEGRDRAFT_47557.1.1.m.11283,1,darkslategray1,1.98422079518487,1.98774563782844,0.777824651261604,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434,-0.527754564919434
CHOYP_NEMVEDRAFT_V1G154974.1.1.m.44261,2,black,-1.31810701680406,-1.31810701680406,0.0684064120968344,1.42321490758908,0.156697302814307,-1.31810701680406,0.0343656019718163,0.127551335471336,1.92055980463151,0.0885631909526664,0.138390853267506,-0.0034283583828686
CHOYP_NEMVEDRAFT_V1G202687.1.1.m.8886,1,darkslategray1,1.71977030049883,0.0781234894529416,1.85697265282646,0.125370371559856,1.08878535352725,-0.695574595409334,-0.695574595409334,-0.695574595409334,-0.695574595409334,-0.695574595409334,-0.695574595409334,-0.695574595409334
CHOYP_NEMVEDRAFT_V1G224038.3.5.m.31061,1,darkslategray1,1.62005623111651,0.468489200270779,-0.732407513607683,0.502908753636091,0.584343312646248,-0.732407513607683,-0.732407513607683,1.95105509758415,-0.732407513607683,-0.732407513607683,-0.732407513607683,-0.732407513607683
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,1,darkslategray1,-0.828346427443229,0.856646258198856,1.1234674370259,2.02844388175539,1.06591960099632,-0.828346427443229,-0.828346427443229,-0.828346427443229,-0.201126954665863,-0.281146932560615,-0.45047115353385,-0.828346427443229
CHOYP_NEMVEDRAFT_V1G235656.1.1.m.19149,1,darkslategray1,0.66126349987348,1.72060143933736,0.782090190304589,0.798230622368011,-0.233035249352371,0.0362068924916165,0.775696444602609,-1.36578547214401,-1.36578547214401,-0.249769745977079,-0.193927677216169,-1.36578547214401
CHOYP_NEMVEDRAFT_V1G236573.1.2.m.46431,2,black,-0.745437569451423,-0.745437569451423,-0.745437569451423,0.362049603546982,-0.745437569451423,-0.745437569451423,1.40967609262643,-0.745437569451423,-0.745437569451423,1.49550269237227,1.62832889017472,0.322505707439558
CHOYP_NEMVEDRAFT_V1G236658.5.6.m.34525,2,black,-0.731212872663486,-0.285777291299617,-0.731212872663486,-0.731212872663486,-0.230073974676124,-0.731212872663486,-0.25626162597806,-0.22631631950233,-0.731212872663486,1.75216073635894,0.821360225096609,2.08097261331801
CHOYP_NEMVEDRAFT_V1G243463.1.1.m.49871,2,black,0.810951133381201,-0.954402647574207,-0.954402647574207,-0.954402647574207,-0.954402647574207,-0.954402647574207,0.91303535015613,1.08887753303273,-0.954402647574207,0.977766817363681,1.08643389521056,0.849351156300935
CHOYP_NEMVEDRAFT_V1G96234.1.1.m.27743,1,darkslategray1,0.207608218583559,0.230705228867415,2.1709146353333,1.56700198112238,-0.291807870096725,-0.134094339849163,0.274598629800038,-0.930835245053737,-0.930835245053737,-0.301585503545854,-0.930835245053737,-0.930835245053737
CHOYP_NF70.1.4.m.31159,2,black,-0.429524373844155,-0.429524373844155,-0.429524373844155,-0.0460681320729272,-0.429524373844155,-0.429524373844155,-0.429524373844155,-0.429524373844155,-0.429524373844155,0.373506074026886,0.0460257400960157,3.06273130870327
CHOYP_NOL10.1.1.m.1606,1,darkslategray1,-0.445729943176626,0.432217786542917,0.528084629915168,0.542702415585524,0.662873529108486,1.1186079474176,-0.399117405737822,1.71975704486515,-0.214428434979033,-1.31498918984712,-1.31498918984712,-1.31498918984712
CHOYP_NRDC.1.1.m.28526,1,darkslategray1,-0.586230687464659,0.223688299485782,0.580333933065287,2.03802265115178,-0.546548242036614,1.75859094891246,-0.833673761005902,-0.552697780139779,0.145316159175494,-0.559453999132045,-0.833673761005902,-0.833673761005902
CHOYP_P3A2.1.3.m.11560,1,darkslategray1,1.65952272885486,0.425177406797759,1.75877080040393,0.492937345477185,-0.748136659396802,0.900548334243879,-0.748136659396802,-0.748136659396802,-0.748136659396802,-0.748136659396802,-0.748136659396802,-0.748136659396802
CHOYP_PAN2.1.1.m.44693,1,darkslategray1,-0.254406534355647,1.22014048586902,-0.0995803765948389,0.06109390579717,-0.321467036970335,0.466701166572004,0.144661609055474,-0.924944513682937,0.443273092183742,-1.3895994979802,-1.3895994979802,2.04372719808675
CHOYP_PCDH9.5.5.m.59488,1,darkslategray1,0.802172010288231,2.02025991558645,0.0503437913928078,0.547190643158276,-0.308786294181018,1.02616876107084,-1.19962299496829,-1.19962299496829,-0.7021965271835,0.103983113866921,-1.19962299496829,0.0597335709058743
CHOYP_POLR3K.1.1.m.8423,1,darkslategray1,1.53242045478987,0.347070806313921,0.418468733327262,1.68663821313802,-0.879453557740447,0.780118270157032,-0.879453557740447,0.512004868716573,-0.879453557740447,-0.879453557740447,-0.879453557740447,-0.879453557740447
CHOYP_PRP6.2.2.m.34365,1,darkslategray1,1.27349216804166,1.44323931116103,1.54285858277758,-0.762712434333589,-0.762712434333589,-0.762712434333589,0.900395495926342,-0.762712434333589,0.17900148242851,-0.762712434333589,-0.762712434333589,-0.762712434333589
CHOYP_PYRD2.1.1.m.26691,1,darkslategray1,1.06051806244579,1.07647949159601,0.0606917220781131,1.22901996790656,1.37793284668298,-1.02492729997196,-1.02492729997196,0.155372017719148,-1.02492729997196,-1.02492729997196,0.164622391431203,-1.02492729997196
CHOYP_QPCT.1.1.m.38977,2,black,-0.815280114329458,-0.327577572188281,-0.815280114329458,-0.815280114329458,1.37184817151381,-0.815280114329458,-0.311562703790958,0.278853165080137,-0.213102091373853,1.85648370035876,1.42145790204767,-0.815280114329458
CHOYP_RNOY.1.3.m.4495,1,darkslategray1,0.0127024866722366,0.0253314235238234,0.057598162488926,2.95098753641434,-0.522709922438562,-0.522709922438562,0.612349847970602,-0.522709922438562,-0.522709922438562,-0.522709922438562,-0.522709922438562,-0.522709922438562
